0,"When Our Ship Comes In: Chinese Export Porcelain from the Hodroff Collection"
2,"John Twachtman: An American Impressionist"
3,"Otsu-e:  Japanese Folk Paintings from the Harriet & Edson Spencer Collection"
4,"The Landscape 2000 Project"
5,"Made in America: Ten Centuries of American Art"
6,"Italian Renaissance Masters"
7,"Impressionism, the City and Modern Life"
8,"Minnesota Impressionists"
12,"Franz Marc and the Blue Rider"
15,"Domenico Tiepolo: Master Draftsman"
16,"Toulouse-Lautrec and the Pleasures of Paris"
17,"Boardman Robinson"
18,"I Claudia: Women in Ancient Rome"
19,"American Sublime: Epic Landscapes of our Nation 1820-1880"
20,"The Allure of the Maine Coast: Robert Henri and His Circle,1903-18"
21,"Maxfield Parrish: 1870-1966"
22,"Sovrane Passioni"
23,"Made in U.S.A., l'art americain, 1908-1943, entre nationalisme et internationalisme"
24,"Paul Gauguin: Das verlorene Paradies"
25,"Taoism and the Arts of China"
26,"The Eagle and the Dragon: U.S. Relations with China"
27,"Soul of the Clay: An Exhibit of Prehistoric Ceramics"
28,"Vandringer: Norwegian-American Painting in Minnesota, 1870-1970"
29,"Degas and America: The Early Collectors"
31,"Henri Matisse: La revelation m'est venue de l'Orient"
32,"Objects of Desire: The Modern Still Life"
33,"Art and Archaeology of Ancient West Mexico"
34,"Robert Delaunay, from Impressionism to Abstract Art"
35,"Cézanne"
36,"Delacroix: The Last Years"
37,"Impressions: Painting Quickly in France, 1860-1890"
38,"Myer Myers: Jewish Silversmith in Colonial New York"
41,"Hokusai: Bridging East and West"
42,"Daumier"
43,"Claude Monet and Frederic Bazille: Early Impressionism and Collaboration in the Studio"
44,"Goya, un regard libre"
45,"Pierre Bonnard: Early and Late"
46,"Van Gogh and Gauguin: the 'Studio of the South'"
47,"Lipchitz and the Avant-Garde: From Paris to New York"
48,"Beyond Ukiyo-e: Modern Japanese Landscape Prints"
50,"Lost Paradise: Symbolist Europe"
51,"William Baziotes: The Poetic Spirit"
52,"Hand Painted Pop: The Formative Years, 1955-1962"
54,"A New View: An Architect's Eye"
55,"Max Beckmann"
56,"James Ensor"
57,"Chaim Soutine"
58,"Lyonel Feininger"
59,"Paul Klee im Rheinland"
61,"Afro in American Collections"
62,"Art in Rome in the Eighteenth Century"
63,"Vincent Van Gogh and the Avant-Garde: Painters of the Petit Boulevard"
64,"Rufino Tamayo"
65,"Enamels of Limoges"
66,"Vatican Treasures: Early Christian, Renaissance, and Baroque Art from the Papal Collections"
67,"Nympheas de Monet"
68,"Gian Lorenzo Bernini, Producer of the Baroque"
69,"Francis Bacon: A Retrospective Exhibition"
71,"Ambiente Barocco: Life and the Arts in the Baroque Palaces of Rome"
72,"Earth and Fire: Italian Terracotta Sculpture from Donatello to Canova"
76,"The Oriental Mirage: visions of the east from Delacroix to Klee"
77,"Painting the Century"
78,"John Singer Sargent"
79,"Signac"
80,"Odilon Redon"
81,"The Artistic Splendor of the Spanish Kingdoms: The Art of 15th century Spain"
82,"Old Master Paintings on Copper, 1525-1775"
83,"From the Pedestal to the Pixel"
85,"Oskar Kokoschka Memorial"
86,"The Informing Spirit: Art in Western Canada and the American Southwest"
87,"Reconstruction of a Dismembered Altarpiece"
88,"Intimate Encounters: Love & Domesticity in 18th Century France"
89,"Pierre-Paul Prud'hon"
90,"It's the Real Thing: Soviet and Post-Soviet Sots Art and American Pop Art"
91,"Kenneth Callahan"
92,"Marsden Hartley: American Modernist"
93,"Piet Mondrian: 1872-1944"
94,"Pietro da Cortona"
95,"Autour de Claude-Joseph Vernet, la marine a voile de 1650 a 1890"
96,"Orbetto (Verona 1578 - Rome 1649)"
97,"After the Photo-Secession: American Pictorial Photography, 1910-1955"
98,"Kunstwelten im Dialog"
99,"Art and the Empire City: The Visual Arts in New York, 1825-1861"
100,"Claude Vignon"
101,"The New Child: British Art and the Origins of Modern Childhood, 1730-1830"
102,"Augustin Pajou"
103,"Retrospective Exhibition: Rene Magritte"
104,"Breaking the Mirror"
105,"Pierre Matisse and His Artists"
106,"Retrospective James Ensor"
107,"Turn-of-the-Century Themes and Variations: Austrian and German Works on Paper from Minnesota Collections"
108,"Chuck Close"
109,"Arthur Wesley Dow and American Arts & Crafts"
110,"James Tissot"
111,"Watteau and His World: French Drawings from 1700-1750"
112,"Edward Ruscha"
